Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,627115,-,-,-,24.49,9.46,1,1083,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2022,1,1,0,30,7.800000000000001,0.64,0.032,0.72,0,0,0,0,3.7,0,0,0,0,75.53,177.20000000000002,0.37,898,0.9,51,4.800000000000001
2022,1,1,1,30,7.2,0.68,0.031,0.68,0,0,0,0,4,0,0,0,0,79.88,168.58,0.37,898,0.9,54,4.7
2022,1,1,2,30,6.7,0.73,0.029,0.68,0,0,0,0,4.1000000000000005,0,0,0,0,83.3,154.94,0.37,897,0.8,55,4.5
2022,1,1,3,30,6.300000000000001,0.79,0.028,0.68,0,0,0,0,4.1000000000000005,0,0,0,0,85.98,141.34,0.37,897,0.8,56,4.3
2022,1,1,4,30,5.800000000000001,0.84,0.027,0.68,0,0,0,0,4.1000000000000005,0,0,0,0,88.99,127.86,0.37,897,0.7000000000000001,57,4.1000000000000005
2022,1,1,5,30,5.300000000000001,0.88,0.027,0.68,0,0,0,0,4.1000000000000005,0,0,0,0,91.87,114.57000000000001,0.37,897,0.7000000000000001,57,3.9000000000000004
2022,1,1,6,30,5.1000000000000005,0.9,0.028,0.68,0,0,0,0,4,0,0,0,0,92.9,101.57000000000001,0.37,898,0.6000000000000001,58,3.8000000000000003
2022,1,1,7,30,6.1000000000000005,0.9,0.03,0.68,13,222,18,0,4,13,222,0,18,86.37,88.69,0.37,898,0.6000000000000001,61,4.4
2022,1,1,8,30,9,0.89,0.031,0.68,47,739,212,0,3.8000000000000003,47,739,0,212,70.01,77.06,0.37,899,0.6000000000000001,66,5.5
2022,1,1,9,30,12.100000000000001,0.85,0.031,0.68,64,903,427,0,2.7,64,903,0,427,52.77,66.24,0.37,899,0.6000000000000001,71,6.1000000000000005
2022,1,1,10,30,14.4,0.78,0.032,0.68,75,982,609,0,0.9,75,982,0,609,39.78,57.06,0.37,899,0.5,71,5.800000000000001
2022,1,1,11,30,16.1,0.71,0.033,0.68,82,1016,729,0,-1,82,1016,0,729,31.16,50.46,0.37,899,0.5,72,5.4
2022,1,1,12,30,17.400000000000002,0.64,0.035,0.68,86,1026,778,0,-2.5,86,1026,0,778,25.6,47.53,0.37,898,0.5,72,5.1000000000000005
2022,1,1,13,30,18.1,0.5700000000000001,0.037,0.68,86,1017,754,0,-3.8000000000000003,86,1017,0,754,22.23,48.94,0.37,897,0.5,71,4.9
2022,1,1,14,30,18.2,0.52,0.039,0.68,83,986,657,0,-4.7,83,986,0,657,20.67,54.35,0.37,897,0.5,69,4.800000000000001
2022,1,1,15,30,17.5,0.47000000000000003,0.042,0.68,75,920,497,0,-5.1000000000000005,75,920,0,497,20.990000000000002,62.730000000000004,0.37,897,0.5,66,4.7
2022,1,1,16,30,15.4,0.44,0.044,0.68,60,786,290,0,-4.800000000000001,60,786,0,290,24.45,73.05,0.37,897,0.5,63,4
2022,1,1,17,30,11.8,0.43,0.046,0.68,31,429,72,0,-4.2,31,429,0,72,32.52,84.53,0.37,898,0.5,60,2.9000000000000004
2022,1,1,18,30,9.8,0.43,0.048,0.68,0,0,0,0,-3.3000000000000003,0,0,0,0,39.58,97.02,0.37,899,0.5,58,3.1
2022,1,1,19,30,8.9,0.43,0.048,0.68,0,0,0,0,-2.6,0,0,0,0,44.25,109.89,0.37,899,0.5,57,3.5
2022,1,1,20,30,8,0.44,0.048,0.68,0,0,0,0,-2.2,0,0,0,0,48.61,123.09,0.37,899,0.5,57,3.6
2022,1,1,21,30,7.2,0.44,0.047,0.68,0,0,0,0,-1.8,0,0,0,0,52.83,136.51,0.37,900,0.5,58,3.7
2022,1,1,22,30,6.4,0.45,0.046,0.68,0,0,0,0,-1.3,0,0,0,0,57.95,150.07,0.37,899,0.5,60,3.7
2022,1,1,23,30,5.7,0.46,0.043000000000000003,0.68,0,0,0,0,-0.6000000000000001,0,0,0,0,63.97,163.71,0.37,899,0.5,64,3.6
2022,1,2,0,30,5,0.49,0.041,0.68,0,0,0,0,0.1,0,0,0,0,70.85000000000001,177.06,0.37,899,0.5,68,3.4000000000000004
2022,1,2,1,30,4.3,0.54,0.037,0.68,0,0,0,0,0.8,0,0,0,0,77.94,168.67000000000002,0.36,899,0.5,72,3.2
2022,1,2,2,30,3.8000000000000003,0.59,0.034,0.68,0,0,0,0,1.3,0,0,0,0,83.72,155.03,0.36,899,0.5,73,3
2022,1,2,3,30,3.3000000000000003,0.65,0.031,0.68,0,0,0,0,1.7000000000000002,0,0,0,0,89.16,141.43,0.36,898,0.5,74,2.7
2022,1,2,4,30,2.8000000000000003,0.72,0.029,0.68,0,0,0,0,2,0,0,0,0,94.79,127.95,0.36,899,0.4,73,2.6
2022,1,2,5,30,2.5,0.78,0.028,0.68,0,0,0,0,2.4000000000000004,0,0,0,0,99.05,114.65,0.36,899,0.4,72,2.5
2022,1,2,6,30,2.6,0.8200000000000001,0.028,0.68,0,0,0,0,2.6,0,0,0,0,100,101.64,0.36,899,0.5,71,2.7
2022,1,2,7,30,4.2,0.86,0.028,0.68,12,230,18,0,2.9000000000000004,12,230,0,18,91.2,88.73,0.36,900,0.5,70,3.5
2022,1,2,8,30,7.7,0.88,0.028,0.68,46,753,214,0,3,46,753,0,214,72.17,77.10000000000001,0.36,900,0.5,73,4.9
2022,1,2,9,30,11,0.88,0.027,0.68,62,918,431,0,2.4000000000000004,62,918,0,431,55.2,66.26,0.36,900,0.5,78,5.4
2022,1,2,10,30,13.600000000000001,0.86,0.027,0.68,71,990,610,0,1.2000000000000002,71,990,0,610,42.77,57.06,0.36,900,0.5,79,5.2
2022,1,2,11,30,15.700000000000001,0.84,0.028,0.68,78,1024,730,0,0,78,1024,0,730,34.42,50.42,0.36,899,0.5,79,5.1000000000000005
2022,1,2,12,30,17.2,0.8200000000000001,0.028,0.68,80,1036,781,0,-1,80,1036,0,781,29.080000000000002,47.45,0.36,898,0.5,79,5.1000000000000005
2022,1,2,13,30,18.1,0.81,0.028,0.68,79,1023,753,0,-1.8,79,1023,0,753,25.810000000000002,48.82,0.36,898,0.6000000000000001,78,5.300000000000001
2022,1,2,14,30,18.3,0.79,0.029,0.68,75,996,658,0,-2.5,75,996,0,658,24.310000000000002,54.22,0.36,897,0.6000000000000001,77,5.6000000000000005
2022,1,2,15,30,17.5,0.77,0.031,0.68,68,936,499,0,-2.7,68,936,0,499,25.150000000000002,62.59,0.36,897,0.6000000000000001,75,5.7
2022,1,2,16,30,15.4,0.75,0.032,0.68,55,814,294,0,-2.3000000000000003,55,814,0,294,29.53,72.91,0.36,897,0.6000000000000001,72,5
2022,1,2,17,30,12.100000000000001,0.75,0.034,0.68,29,484,77,0,-1.5,29,484,0,77,38.72,84.4,0.36,898,0.6000000000000001,69,3.7
2022,1,2,18,30,10,0.75,0.036000000000000004,0.68,0,0,0,0,-0.8,0,0,0,0,47.01,96.89,0.36,899,0.6000000000000001,67,3.5
